1,1,1
1,0,1
1,1,2
1,0,2
1,1,3
1,1,4
2,1,2
1,1,5
1,0,5
2,2,3
1,1,6
2,-1,3
2,1,3
1,0,6
2,0,3
1,1,8
2,-1,4
2,1,4
1,1,9
3,1,3
1,1,10
2,-1,5
2,1,5
3,3,4
1,0,10
2,0,5
1,1,11
1,1,12
2,-1,6
2,1,6
3,-1,4
3,1,4
1,1,13
3,3,5
1,0,13
2,2,7
1,1,14
2,-1,7
2,1,7
4,3,4
1,0,14
2,0,7
3,-2,5
3,2,5
1,1,15
3,-1,5
3,1,5
1,1,17
1,0,17
2,2,9
3,-2,6
3,2,6
1,1,18
2,-1,9
2,1,9
3,-1,6
3,1,6
4,-3,5
4,3,5
1,1,20
2,-1,10
2,1,10
4,-1,5
4,1,5
1,1,21
3,-1,7
3,1,7
1,0,21
2,2,11
3,0,7
5,4,5
1,1,22
2,-1,11
2,1,11
3,3,8
4,-3,6
4,3,6
1,0,22
2,0,11
1,1,23
5,3,5
1,1,24
2,-1,12
2,1,12
3,-1,8
3,1,8
4,-1,6
4,1,6
5,5,6
1,1,26
2,-1,13
2,1,13
4,-3,7
4,3,7
1,0,26
2,0,13
3,-2,9
3,2,9
5,-4,6
5,4,6
1,1,27
3,-1,9
3,1,9
1,1,28
2,-1,14
2,1,14
3,3,10
4,-1,7
4,1,7
5,-3,6
5,3,6
1,1,29
5,5,7
1,0,29
2,2,15
3,-2,10
3,2,10
5,-2,6
5,2,6
1,1,30
2,-1,15
2,1,15
3,-1,10
3,1,10
4,-3,8
4,3,8
5,-1,6
5,1,6
6,5,6
1,0,30
2,0,15
3,0,10
5,0,6
1,1,31
3,3,11
1,1,32
2,-1,16
2,1,16
4,-1,8
4,1,8
1,1,33
3,-1,11
3,1,11
5,-3,7
5,3,7
1,0,33
2,2,17
3,0,11
6,6,7
1,0,34
2,0,17
5,-2,7
5,2,7
1,1,35
5,-1,7
5,1,7
1,1,36
2,-1,18
2,1,18
3,-1,12
3,1,12
4,-1,9
4,1,9
6,-5,7
6,1,6
6,5,7
1,0,37
2,2,19
1,1,38
2,-1,19
2,1,19
4,-3,10
4,3,10
5,-3,8
5,3,8
1,0,38
2,0,19
3,-2,13
3,2,13
6,-4,7
6,4,7
1,1,39
3,-1,13
3,1,13
5,5,9
1,1,40
2,-1,20
2,1,20
3,3,14
4,-1,10
4,1,10
5,-1,8
5,1,8
6,-3,7
6,3,7
1,1,41
1,0,41
2,2,21
3,-2,14
3,2,14
5,-4,9
5,4,9
6,-2,7
6,2,7
1,1,42
2,-1,21
2,1,21
3,-1,14
3,1,14
4,-3,11
4,3,11
6,-5,8
6,-1,7
6,1,7
6,5,8
1,0,42
2,0,21
3,0,14
6,0,7
1,1,45
3,-1,15
3,1,15
5,-1,9
5,1,9
1,1,46
2,-1,23
2,1,23
3,3,16
4,-3,12
4,3,12
6,-3,8
6,3,8
1,0,46
2,0,23
5,-4,10
5,4,10
1,1,47
7,3,7
1,1,48
2,-1,24
2,1,24
3,-1,16
3,1,16
4,-1,12
4,1,12
5,-3,10
5,3,10
6,-5,9
6,-1,8
6,1,8
6,5,9
1,1,49
3,3,17
5,5,11
7,1,7
1,1,50
2,-1,25
2,1,25
4,-3,13
4,3,13
5,-1,10
5,1,10
7,-5,8
7,5,8
1,1,51
3,-1,17
3,1,17
7,7,9
1,1,53
5,-3,11
5,3,11
1,0,53
2,2,27
3,-2,18
3,2,18
6,-2,9
6,2,9
1,1,54
2,-1,27
2,1,27
3,-1,18
3,1,18
4,-3,14
4,3,14
5,5,12
6,-5,10
6,-1,9
6,1,9
6,5,10
7,-3,8
7,3,8
1,1,55
3,3,19
5,-1,11
5,1,11
1,1,56
2,-1,28
2,1,28
4,-1,14
4,1,14
7,-1,8
7,1,8
1,1,57
3,-1,19
3,1,19
7,-5,9
7,5,9
1,0,57
2,2,29
3,0,19
6,6,11
1,1,58
2,-1,29
2,1,29
3,3,20
4,-3,15
4,3,15
5,-3,12
5,3,12
6,-3,10
6,3,10
7,7,10
8,5,8
1,0,58
2,0,29
1,1,59
5,5,13
1,1,60
2,-1,30
